, sentimen,label,clean_teks
12,"sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak - 100 tidak rasanya tidak buruk , namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun , masih ada menu-menu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau . lanjutan",0,cerita alam pesan steak grilled beef saji steak potong buruk kualitas daging nya enggan mes menu beef khusus nya sirloin lemak nya ukur steak menumenu tempel lidah saran beli menu label cheese lanjut
13,"pengalaman bersama indosat hari ini , semoga tidak terjadi pada pelanggan lain . sempat sampai marah-marah dengan pelayanan pelanggan indosat",2,alam indosat moga langgan marahmarah layan langgan indosat
14,anak sekarang sulit untuk dinasehati,2,anak sulit nasehat
15,hanya mengatasi masalah kayak gini saja anies sandi tidak becus . ke mana saja pasukan kebersihan yang begitu banyak jumlah nya ?,2,atas anies sandi becus pasu bersih nya
16,setiap bumn dibentuk dengan uu bukan dibentuk dengan uu .,1,bumn bentuk uu bentuk uu
17,"sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek di sini . ayam nya selalu enak dan gurih !",0,habis puas main trans studio bandung teman sepakat makan ayam kakek ayam nya enak gurih
18,rasa bakso cuanki dan batagor cukup . selalu ramai pengunjung . buka sekitar jam 10 pagi . dari jalan riau menuju jalan a yani ada sisi kiri jalan sekitar jalan anggrek . harga per porsi sekitar rp 14 000 . datanglah lebih awal karena selalu ramai pengunjung,0,bakso cuanki batagor ramai unjung buka jam pagi jalan riau jalan a yani sisi kiri jalan jalan anggrek harga porsi rupiah datang ramai unjung
19,sgwr 2018 beri dampak positif terhadap hobi anak-anak,0,sgwr dampak positif hobi anakanak
20,"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",0,lembang pandang indah udara sejuk tata resto bagus lengkap makan nikmat pilih menu agam minum lengkap lingkung cocok makan dua pasang bawa keluarga teman lapang parkir luas restoran konsep buka udara lembang sejuk nya
21,"berbuka puasa di sini pada minggu lepas , pak supir yang mencadangkan tempat makan ini . makanan nya di sini sedap dan harga berpatutan . tempat nya luas dan cantik . rekomendasi too others to dine in here to rasa authentic sunda makanan indonesia .",0,buka puasa minggu lepas supir cadang makan makan nya sedap harga patut nya luas cantik rekomendasi too dine in here authentic sunda makan indonesia
22,hahaha suka banget nonton kartun indonesia keluarga pak tomat,0,hahaha suka banget nonton kartun indonesia keluarga tomat
23,bagi teman-teman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat . ada cilok rakyat ditemankan dengan teh sereh dan lekker .,0,temanteman kunjung bandung mampir kopi anjis makan makan berat cilok rakyat teman teh sereh lekker
24,"di restoran ini , saya dan keluarga makan malam yang terakhir di bandung . kami berjumlah 8 orang dan bila nya hanya sekitar 400 an , benar-benar murah meriah , sampai makan double-double lagi . makanan nya juga enak , suasana kafe menarik , pelayanan sangat bagus . saya masih teringat petunjuk toilet yang ada di restoran ini men to the pergi , karena momen are selalu ribut hahahaha . setimpal .",0,restoran keluarga makan malam bandung orang nya an benarbenar murah riah makan doubledouble makan nya enak suasana kafe tarik layan bagus tunjuk toilet restoran men the pergi momen are ribut hahahaha timpal
25,"alhamdulillah hari ini tidak ke jalan bugel agak kesal juga kalau tiap hari lewat sana melulu . sempit , dua arah , macet sudah jadi makanan sehari-hari",2,alhamdulillah jalan bugel kesal melulu sempit arah macet makan seharihari
26,"respon agak lama , sama sayang nya rem nya bukan asli , masih rom distrobitor",2,respon sayang nya rem nya asli rom distrobitor
27,lokasi dengan pemandangan alam yang masih natural dan indah . suasana juga sejuk dan tenang . hanya saja banyak nyamuk dan harga makanan relatif mahal .,0,lokasi pandang alam natural indah suasana sejuk tenang nyamuk harga makan relatif mahal
28,pdip sebut ridwan kamil menang karena berbaju merah,1,pdip ridwan kamil menang baju merah
29,malu - maluin nih oknum yang tidak bertanggung jawab .,2,malu maluin nih oknum tanggung
30,"makan siang di sini asyik juga . nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian . tempat nya enak dan adem tapi sayang sekali pesan kopi lama banget datang nya , diminta berkali kali , iya pak iya pak hampir 1 jam dan ketika kopi datang pun bukan kopi panas tapi kopi ade , ini kah ciri khas kopi di sini . kalau khas nya kopi dingin tidak enak .",2,makan siang asyik nuansa bal musik nya musik sunda kadang musik khas bal ganti nya enak adem sayang pesan kopi banget nya kali kali iya iya jam kopi kopi panas kopi kah ciri khas kopi khas nya kopi dingin enak
31,"tempat steak di bandung sejak lama dari zaman setiabudi sampai sekarang buka cabang di riau . tempat di riau ini lebih besar , parkiran juga tidak sulit seperti di setiabudi . lokasi di tempat kuliner jalan riau . porsi dan harga nya pas untuk ukuran steak . untuk zoom non smoking nya nyaman .",0,steak bandung zaman setiabudi buka cabang riau riau parkir sulit setiabudi lokasi kuliner jalan riau porsi harga nya pas ukur steak zoom non smoking nya nyaman
32,"08:30 : kedatangan presiden ri dan rombongan di gate 2 , terminal 3 disambut oleh menteri perhubungan , menteri bumn , gubernur banten , dirjen perkeretaapian kemhub , dirut ap2 , dirut pt kami , dan dirut railink",1,datang presiden ri rombong gate terminal sambut menteri hubung menteri bumn gubernur banten dirjen perkeretaapian kemhub dirut ap dirut pt dirut railink
33,makanan tradisional yang selalu rasanya stabil iga garang asam nya dan java steak nya jangan lupa ya dicoba hidangan penutup semua kue enak lemper soes fla gulung . enak sekali tidak ada yang tidak enak kalau makanan di sini .,0,makan tradisional stabil iga garang asam nya java steak nya lupa ya coba hidang tutup kue enak lemper soes fla gulung enak enak makan
34,"sampai saat ini saya rasa batagor ini masih yang terenak di kota bandung dibandingkan dengan batagor lainnya yang saya pernah coba . bumbu kacang nya pas rasanya di lidah , dan batagor nya juga tidak amis bau nya . silakan mencoba untuk yang belum pernah coba .",0,batagor enak kota bandung banding batagor coba bumbu kacang nya pas lidah batagor nya amis bau nya sila coba coba
35,"aroma khas yang ada jika makan di atas daun pisang , ya walau ramai tempat ini selalu jadi favourit saya jika ke bandung .",0,aroma khas makan daun pisang ya ramai favourit bandung
36,"akhir tahun lalu saya dan keluarga berjalan ke daerah lembang dan tidak sengaja mampir makan di resto ini . suasana nya nyaman , pelayanan juga ramah dan berlebihan ala kami puas . makanan yang di sajikan standar seperti makanan di restoran pada umum nya , tetapi yang membuat berbeda adalah sambal stroberi yang yummy dan bikin ketagihan . di sana selain bisa makan kita juga bisa sambil memetik . lanjutan",0,keluarga jalan daerah lembang sengaja mampir makan resto suasana nya nyaman layan ramah ala puas makan saji standar makan restoran nya beda sambal stroberi yummy bikin tagih makan petik lanjut
37,risma menjatuhkan pilihan nya pada gus ipul - puti di pilgub jatim 2018 ini .,1,risma jatuh pilih nya gus ipul puti pilih gubernur jatim
38,"pengalaman yang cukup seru , makan tanpa alas piring , tapi hanya dengan alas daun , makin nikmat . makanan sunda yang sangat bervariatif dan cukup enak . tips nya : jangan terbawa emosi dan kalap memesan dan memilih semua makanan yang disediakan biasanya kalap kalau sudah melihat makanan macam-macam begitu . pilih seperlunya .",0,alam seru makan alas piring alas daun nikmat makan sunda variatif enak tips nya bawa emosi kalap mes pilih makan sedia kalap makan macammacam pilih
39,"makanan nya enak , suasana nyaman . harga bisa dibilang sama dengan tempat lain . restoran ini ada 4 konsep tapi yang paling terkenal menu jepang nya yang enak loh",0,makan nya enak suasana nyaman harga bilang restoran konsep kenal menu jepang nya enak loh
40,kampung daun adalah tempat makan yang menyatukan konsep alam dan budaya dari daerah setempat . walaupun di dalam kompleks perumahan akan tetapi tempat tersebut cukup luas mempunyai mungkin sekitar 20 lebih saung / tempat makan dari yang kapasitas sedang hingga besar . kualitas makanan enak dan dengan ada nya suara riak air dari air terjun kecil di sana membuat suasana sangat nyaman untuk makan .,0,kampung daun makan satu konsep alam budaya daerah kompleks rumah luas saung makan kapasitas kualitas makan enak nya suara riak air air terjun suasana nyaman makan
41,"waktu itu ke sini pesan nasi goreng dan kentang goreng , nasi goreng nya semua suka . kentang goreng nya enak banget , dan presentasi nya bagus . keluarga bilang kopi nya enak . hal yang sangat baik di sini adalah tempat nya luas dan yang di luar bisa lihat pemandangan dusun bambu , tapi pelayanan nya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya . harga nya cukup mahal , namun karena makanan nya enak semua jadi terbayarkan . tidak perlu pikir dua kali jika mau ke tempat ini lagi .",0,pesan nasi goreng kentang goreng nasi goreng nya suka kentang goreng nya enak banget presentasi nya bagus keluarga bilang kopi nya enak nya luas lihat pandang dusun bambu layan nya cepat kali pesan harga nya mahal makan nya enak bayar pikir kali
42,"banyak sekali tempat makan sunda yang bertebaran di kota bandung , tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini . ibu imas yang berada di dekat alun-alun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi zaman dahulu yang di mana kita bisa mengambil semua hidangan di depan kita tanpa harus melalui proses order yang biasa kita jumpai di warung makan .",0,makan sunda tebar kota bandung jatuh hati warung makan imas alunalun kota bandung suguh rumah makan sunda karakter warung nasi zaman ambil hidang proses order jumpa warung makan
43,hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai .,1,hai tolong bantu input resi jne nomor resi pakai
44,"foods : menu baru cheeseburger nya oke banget dan chicken wings pizza hut memang selalu juara . dirilis : mixing green tea yakult , perfect ! satu-satunya kekurangan pizza hut adalah pinggiran nya ,",0,foods menu cheeseburger nya oke banget chicken wings pizza hut juara rilis mixing green tea yakult perfect satusatunya kurang pizza hut pinggir nya
45,dusun bambu ini tergolong baru di bandung . tempat nya yang dekat banget sama almamater saya . membuat saya gampang cari ini tempat . pemandangan nya bagus . banyak tempat makan yang enak-enak . beli nya nanti pakai voucher .,0,dusun bambu golong bandung nya banget almamater gampang cari pandang nya bagus makan enakenak beli nya pakai voucher
46,tidak memuaskan,2,muas
47,suruh ngaca pemain nya ! dasar oneng ! ngomong saja masih ala betawi lu ! kampungan !,2,suruh kaca main nya dasar oneng ngomong ala betawi kampung
48,"kafe ini menyajikan sensasi makan dalam gelap . cukup unik sih , tetapi lebih dari sekali , rasanya orang jarang datang lagi . hanya menarik untuk sekadar mencoba .",2,kafe saji sensasi makan gelap unik sih orang jarang tarik coba
49,"sesuai dengan nama nya mi awie , kedai makan ini menyediakan menu mi dengan olahan daging babi . selain mi masih ada pilihan lainnya seperti nasi goreng babi , capjay goreng , bakso , pangsit dan lainnya . kami mencoba menu mi babi casau special , rasanya . enak banget !",0,sesuai nama nya mi awie kedai makan sedia menu mi olah daging babi mi pilih nasi goreng babi capjay goreng bakso pangsit coba menu mi babi casau special enak banget
50,"mardani ali sera : kemenangan di sosial media , akan selalu kemenangan di dunia nyata .",1,mardani ali sera menang sosial media menang dunia nyata
51,"terakhir ke tempat ini beberapa tahun yang lalu ketika masih berupa kafe , sekaramg sudah jadi penginapan dan boutique hotel . untuk yang travel bareng anak-anak pasti suka menginap di sini . ada playground yang seru , swimming pool , high rope , flying fox kalau menginap dapat tiket gratis dan petik stroberi perlu pesan - karena suka ramai . menginap di sini banyak pilihan kamar . enak .",0,kafe sekaramg inap boutique hotel travel bareng anakanak suka inap playground seru swimming pool high rope flying fox inap tiket gratis petik stroberi pesan suka ramai inap pilih kamar enak
52,selamat pagi . wah kecewa berat masa indihome internet tidak kocek lagi . saya itu bayar mahal . jangan kecewakan kami sebagai pelanggan,2,selamat pagi kecewa berat indihome internet kocek bayar mahal kecewa langgan
53,. pokok nya kurang kurang afdol kalau ke lembang atau ke bandung tidak mampir ke sini . 4 humas naik buat kampung daun .,0,pokok nya afdol lembang bandung mampir humas kampung daun
54,"kfc bandung supermall fasilitas nya lengkap luas , agak jarang ditemukan dikfc lainnya . keramahtamaan karyawan nya juga sangat bagus",0,kfc bandung supermall fasilitas nya lengkap luas jarang temu dikfc keramahtamaan karyawan nya bagus
55,"restoran sapu lidi memilik keunikan tersendiri , serasa makan di tengah sawah , dikelilingin kolam ikan dan juga nuansa persawahan . menu nya seperti makanan sunda lainnya , tapi ada satu menu favorit saya , jamur bakar , enak banget .",0,restoran sapu lidi milik uni sendiri serasa makan sawah dikelilingin kolam ikan nuansa sawah menu nya makan sunda menu favorit jamur bakar enak banget
56,"semua enak . mi abu-abu , mi black , tahu cocol dan sayap ayam nya mantap . buat makan camilan bisa di sini .",0,enak mi abuabu mi black cocol sayap ayam nya mantap makan camil
57,"nkri bersyariah , fpi , revolusi akhlaq , suara keadilan , __laugh__ semua pada tersandung kasus , fpi , ulama nya tersandung obrolan mesum tidak berani pulang , nkri bersyariah , berarti tidak mengamalkan pancasila , sungguh miris ,",2,nkri bersyariah fpi revolusi akhlaq suara adil laugh sandung fpi ulama nya sandung obrol mesum berani pulang nkri bersyariah amal pancasila sungguh miris
58,bikin macet saja nih orang,2,bikin macet nih orang
59,singapura selidiki penjualan prt indonesia di situs daring,1,singapura selidik jual prt indonesia situs daring
60,"pergi merayakan ulang tahun di tempat ini sangat berkesan , saya dengan istri memilih tempat ini , menu makanan variatif , dari makanan barat sampai lokal ada , sedia baju hangat . dingin sangat di sini .",0,pergi raya ulang kesan istri pilih menu makan variatif makan barat lokal sedia baju hangat dingin
61,"sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo . menurut saya , dia tidak pantas memimpin negara .",2,pilih orang kecut prabowo pimpin negara
62,"jangan terlalu banyak iklan , perbaiki dulu jaringan kalian yang lamban",2,iklan baik jaring lamban
63,"kalau orang tiongkok masuk indonesia baru bisa maju , kalau andalkan orang pribumi otak nya jongkok",2,orang tiongkok masuk indonesia maju andal orang pribumi otak nya jongkok
64,cepat respon . pengiriman kilat . dan ramah . setelah akhirnya saya berputar-putar di toko lain yang tidak jelas . saya bertemu toko juragan ini yang pelayanan nya sangat memuaskan . tangkap sangat juragan .,0,cepat respon kirim kilat ramah berputarputar toko temu toko juragan layan nya muas tangkap juragan
65,"sok pencitraan sekali , basi sama gaya lu . lebih wibawa yang seragam coklat top deh buat pak anies .",2,sok citra basi gaya wibawa seragam cokelat top deh anies
66,ke sini beberapa tahun yang lalu bersama teman-teman . suasana nya sangat menyenangkan dengan pemandangan yang bagus dan hawa dingin yang menyegarkan . akan lebih baik datang ke sini pada malam hari . steak nya enak .,0,temanteman suasana nya senang pandang bagus hawa dingin segar malam steak nya enak
67,"dari saya debut . empat bagus tetapi yang bikin suka sekali itu tonight dengan saranghajima . tidak mengerti apa aku saja atau yang lain merasakan ini , winner adalah abang selain bigbang yang kalau nyanyi jiwa nya ikutan nyanyi . bagus banget . dan makin cinta dengan mereka setelah tahu sifat dan sikap saya .",0,debut bagus bikin suka malam saranghajima erti rasa winner abang bigbang nyanyi jiwa nya ikut nyanyi bagus banget cinta sifat sikap
68,sangat melelahkan malam ini .,2,lelah malam
69,marah,2,marah
70,"tidak dong . aku pilih sby , eh pilih prabowo maksude . dan yang akan datang aku pilih yang selain jokowi seperti biasanya yang selain dari partai banteng moncong tepung . grinningfacewithsmilingeyes",2,pilih sby eh pilih prabowo maksud pilih jokowi partai banteng moncong tepung grinningfacewithsmilingeyes
71,"puas dengan servis nya , ramah ! harga nya sebanding dengan pelayanan dan rasanya . pemandangan nya yang keren banget , cocok buat acara ngumpul bareng teman dan keluarga ! pokok nya rekomendasi sekali ! tidak menyesal deh , pokok nya harus ke sini lagi ! saya dilayani oleh feriyana yang super ramah dan baik , pokok nya buat teman-teman the 18th ini recommened sekali !",0,puas servis nya ramah harga nya banding layan pandang nya keren banget cocok acara ngumpul bareng teman keluarga pokok nya rekomendasi sesal deh pokok nya layan feriyana super ramah pokok nya temanteman the th recommened
72,"ini pertama kali saya makan abuba steak di luar jakarta . rasanya agak berbeda dengan yang saya biasa nikmati di abuba steak jakarta . kurang enak . suasana restoran nya oke . toilet nya sudah agak tua , harus sedikit diperbaharui",2,kali makan abuba steak jakarta beda nikmat abuba steak jakarta enak suasana restoran nya oke toilet nya tua baharu
73,ini xl jaringan nya jelek banget ya,2,xl jaring nya jelek banget ya
74,saya puas dengan games mobile legend,0,puas games mobile legend
75,"saya bersama rekan kerja sengaja mencoba makan siang di sambal khas karmila cab . buah batu bandung , untuk tempat terbilang cozzy dan cukup nyaman jika di lantai atas , sedangkan lantai dasar saya rasa tidak lebih dari tempat makan makanan cepat saji yang cukup penuh dengan hiruk pikuk pelanggan . rasa ayam bakar di sini sangat saya rekomendasikan bersama sambal mangga . terkait harga terbilang relative .",0,rekan kerja sengaja coba makan siang sambal khas karmila cab buah batu bandung bilang cozzy nyaman lantai lantai dasar makan makan cepat saji penuh hiruk pikuk langgan ayam bakar rekomendasi sambal mangga kait harga bilang relative
76,"kuah bakso nya terlalu asin menurut saya . masih enakan yang dijual keliling di malang . tapi tempat nya bagus buat menjamu teman . ada di banyak lokasi dan selalu ramai . selain bakso juga menyediakan capcay , nasi goreng dan lain-lain yang menurut saya justru lebih enak .",0,kuah bakso nya asin enak jual keliling malang nya bagus jamu teman lokasi ramai bakso sedia capcay nasi goreng lainlain enak
77,saya sebagai warga jakarta malu kang sama oknum yang tidak bertanggung jawab yang mau sweeping bobotoh,2,warga jakarta malu kang oknum tanggung sweeping bobotoh
78,"tenderloin steak nya juara , tempat mudah diakses memaki pun tersembunyi , nyaman , tema zaman dahulu , tidak ramai , pelayanan biasa ,",0,tenderloin steak nya juara mudah akses maki sembunyi nyaman tema zaman ramai layan
79,"ini adalah salah satu restoran chinese yang sudah ada sejak lama . masakan dari kepiting nya favorit juara . biasa saya pesan kepiting rebus , babat toge dan cah kangkung",0,salah restoran chinese masakan kepiting nya favorit juara pesan kepiting rebus babat toge bocah kangkung
80,"para cebong yang selama ini menuduh saya mencuri uang sedekah 30 %, silakan anda urus si aris wahyudi ini . dia ambil komisi 20 % untuk transaksi pelacuran berkedok agama . berani tidak , membulat si aris wahyudi ini ? atau kamu semua cuma berani sama jonru ?",2,cebong tuduh curi uang sedekah sila urus si aris wahyudi ambil komisi transaksi lacur kedok agama berani bulat si aris wahyudi berani jonru
81,menarik pilkada jawa barat ini . ada ridwan kamil berpasangan dengan tokoh dari dc universe .,0,tarik pilkada jawa barat ridwan kamil pasang tokoh dc universe
82,suasana di kantor dpc kab. bogor menjelang pidato awal tahun 2018 oleh,1,suasana kantor dpc kab bogor jelang pidato
83,"kalau djarum memang agak tidak kuat , dia baru kerasa tidak bagus nya pas akhir bakaran",2,djarum kuat bagus nya pas bakar
84,bakmi tasik saya dan beberapa teman mampir dan coba bakmi bakso nya . makanan nya biasa-biasa saja . tidak ada yang special .,2,bakmi tasik teman mampir coba bakmi bakso nya makan nya biasabiasa special
85,"lokasi pandan wangi sebenarnya agak jauh dari pusat kota bandung . tapi masih terjangkau , sekitar 15 menit dari jalan asia afrika . patokan jalan nya ada di jalan talaga bodas . dari sana tinggal mencari papan petunjuk pandan wangi . saat kami datang jam 1 siang sudah menanti begitu banyak orang . kebanyakan yang datang keluarga dan anak-anak . sambil menunggu disajikan gorengan dari ubi / singkong yang lumayan enak .",0,lokasi pandan wangi pusat kota bandung jangkau menit jalan asia afrika patok jalan nya jalan talaga bodas tinggal cari papan tunjuk pandan wangi jam siang orang banyak keluarga anakanak tunggu saji goreng ubi singkong lumayan enak
86,"pertama kalinya datang ke eatalia , saya datang bersama dengan teman dan 1 orang anak . tidak memsungkan ketika memlilih makanan untuk anak karena di sini menyediakan menu dengan porsi anak . kami memesan cheese bacon deluxe , pizza dengan roti berwarna hitam . untuk keseluruhan menu yang saya pesan tidak mengecewakan .",0,kali eatalia teman orang anak memsungkan memlilih makan anak sedia menu porsi anak mes cheese bacon deluxe pizza roti warna hitam menu pesan kecewa
87,"rasanya lumayan . sambel nya juga enak . apalagi disajikan 3 macam model begitu . terus banyak pilihan sih sebenarnya mau makan apa di sini . mau gurame , mau kakap , bawal , kerang , cumi , udang . macem-macem deh . asal jangan pesan ikan kembung saja . tidak ada di sini .",0,lumayan sambel nya enak saji model pilih sih makan gurame kakap bawal kerang cumi udang macemmacem deh pesan ikan kembung
88,"berlokasi di salah satu tempat belanja dan rekreasi di cihampelas wali bandung , resto ini tidak mengecewakan . sajian nya cukup beragam . untuk rasanya , resto ini bisa menyajikan nya dengan cukup enak dan nikmat , sangat cocok untuk bersantap dengan pasangan atau keluarga .",0,lokasi salah belanja rekreasi cihampelas wali bandung resto kecewa saji nya agam resto saji nya enak nikmat cocok santap pasang keluarga
89,dizaman ini masih ada mbak mbak online shop yang tidak tahu aplikasi gojek gocar gosend ya allah bodoh sekali : jualan dihutan aku rasa,2,zaman mbak mbak online shop aplikasi gojek gocar gosend ya allah bodoh jual hut
90,"restoran ini juga terletak di tempat stategis yaitu jalan dago . tepat nya di sebelah hotel holiday inn . sesuai judul nya , restoran ini menyediakan berbagai menu masakan aceh . favorit saya adalah mi aceh . harga standar tapi tidak terlalu mahal . jangan lupa coba roti canai nya",0,restoran letak stategis jalan dago nya belah hotel holiday inn sesuai judul nya restoran sedia menu masakan aceh favorit mi aceh harga standar mahal lupa coba roti canai nya
91,bihun goreng nya enak . bisa minta tidak banyak minyak . makanan di sini mengandung babi jadi tidak halal . es teh tawar porsi nya besar dan memuaskan .,0,bihun goreng nya enak minyak makan kandung babi halal es teh tawar porsi nya muas
92,lokasi tes tidak jelas . ditelepon tidak diangkat . di email cuma auto reply . tidak rekomendasi . aku baru sadar something adalah wong pas mampir ke kantor nya dan mereka cerita bahwa pernah held tes di hotel dan ruang sebelah ada kondangan . they told that without remorse,2,lokasi tes telepon angkat email auto reply rekomendasi sadar something pas mampir kantor nya cerita held tes hotel ruang belah kondangan told that without remorse
93,"sate kambing dan gulai kambing nya maknyus , penyajian makannan nya juga sangat cepat . tempat nya cukup bersih",0,sate kambing gulai kambing nya maknyus saji makannan nya cepat nya bersih
94,"yue ke hotel yang di mongkok hongkong , tidak ada ! bulan juni lalu , saya booked dan sudah bayar untuk 2 kamar . tapi hotel tidak ditemukan",2,yue hotel mongkok hongkong juni booked bayar kamar hotel temu
95,"poach salmon nya enak , pelayanan nya enak , scenery nya mantap . tank to amanda dan worth it banget deh . pasti kembali lagi",0,poach salmon nya enak layan nya enak scenery nya mantap tank amanda worth it banget deh
96,orang cina makanan legendaris sudah lama banget nih orang cina makanan satu ini semuanya enak yang tidak enak cuma parkir nya saja aujubila susah nya parkir harus di seberang karena depan resto trotoar . jadi harus sabar sekali-sekali . sedih deh .,2,orang cina makan legendaris banget nih orang cina makan enak enak parkir nya aujubila susah nya parkir seberang resto trotoar sabar sekalisekali sedih deh
97,makan di restoran pizza ini paling enak jika bersama teman . menikmati paket sensasi delight yang harga nya sangat terjangkau oleh semua kalangan .,0,makan restoran pizza enak teman nikmat paket sensasi delight harga nya jangkau kalang
98,"hasil quick count pilgub kaltim 2018 , isran - hadi unggul",1,hasil quick count pilih gubernur kaltim isran had unggul
99,kenapa kamu jerat buni yani undang-undang ite ? padahal jelas-jelas itu video berasal dari youtube yang diunggah oleh pemprov itu sendiri . harus nya yang kena undang-undang ite itu pemprov bukan buni yani . ya kan ?,2,jerat buni yani undangundang ite jelasjelas video asal youtube unggah perintah provinsi nya kena undangundang ite perintah provinsi buni yani ya
100,"paket gim benar-benar mantap ! yang megah harus makan di sini , dijamin makin keren ! bravo !",0,paket gim benarbenar mantap megah makan jamin keren bravo
101,"di dekat gubernuran , tidak jauh dari jembatan penyebrangan , ada gang yang di dalam nya terdapat makanan yang sudah ada sejak zaman ibu saya . rasa kuah lontong kari kental dan agak manis , cocok ditambahkan acar yang ada di meja . porsi nya mengenyangkan",0,gubernur jembatan penyebrangan gang nya makan zaman kuah lontong kari kental manis cocok acar meja porsi nya kenyang
102,"berada di tengah tengah jalan braga , tempat nya lumayan enak untuk nongkrong , ada live musik , makanan nya pun lumayan .",0,jalan braga nya lumayan enak nongkrong live musik makan nya lumayan
103,"sebagai pengguna setia produk mereka , kecewa banget sama pelayanan pusat servis asus yang tidak jujur dan menyepelekan pendapat pelanggan .",2,guna setia produk kecewa banget layan pusat servis asus jujur sepele dapat langgan
